expert,criterion_a,criterion_b,value
expert1,activity_score,service_score,1
expert1,activity_score,location_score,1
expert1,activity_score,pop_jobs_score,1
expert1,activity_score,terminal_score,1
expert1,service_score,location_score,1
expert1,service_score,pop_jobs_score,1
expert1,service_score,terminal_score,1
expert1,location_score,pop_jobs_score,1
expert1,location_score,terminal_score,1
expert1,pop_jobs_score,terminal_score,1
expert2,activity_score,service_score,1
expert2,activity_score,location_score,1
expert2,activity_score,pop_jobs_score,1
expert2,activity_score,terminal_score,1
expert2,service_score,location_score,1
expert2,service_score,pop_jobs_score,1
expert2,service_score,terminal_score,1
expert2,location_score,pop_jobs_score,1
expert2,location_score,terminal_score,1
expert2,pop_jobs_score,terminal_score,1
expert3,activity_score,service_score,1
expert3,activity_score,location_score,1
expert3,activity_score,pop_jobs_score,1
expert3,activity_score,terminal_score,1
expert3,service_score,location_score,1
expert3,service_score,pop_jobs_score,1
expert3,service_score,terminal_score,1
expert3,location_score,pop_jobs_score,1
expert3,location_score,terminal_score,1
expert3,pop_jobs_score,terminal_score,1
